Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
51,2.0,0.0,0.0,774.0,11.0,35.0,3081.0,0.1,18.706000000000017,0.0,0.0,597.2504210472107,,,,,,,,,,,,,,,,,,,,,6.012714087665586,6.370140930403514,18.532601677685403,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,832.0,12.0,58.0,3139.0,0.1,39.407,0.0,0.0,602.8150737285614,,,,,,,,,,,,,,,,,,,,,14.369359085072759,13.193230116195268,38.650840202630846,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,872.0,13.0,40.0,3179.0,0.1,21.80600000000002,0.0,0.0,606.7690241336823,,,,,,,,,,,,,,,,,,,,,7.0581514303032,7.318569377605327,21.56678594789772,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,908.0,14.0,36.0,3215.0,0.1,15.805999999999994,0.0,0.0,610.4328277111053,,,,,,,,,,,,,,,,,,,,,4.810116173549238,5.105119847040494,15.66414845050479,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1030.0,15.0,122.0,3337.0,0.1,88.30799999999999,0.0,0.0,621.7074100971222,,,,,,,,,,,,,,,,,,,,,34.11004355966213,26.67983693808137,84.31512061182426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1161.0,16.0,131.0,3468.0,0.1,86.90599999999998,0.0,0.0,633.9842159748077,,,,,,,,,,,,,,,,,,,,,36.327510370768046,24.94643722160174,82.31163710400025,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1215.0,17.0,54.0,3522.0,0.1,38.705999999999996,0.0,0.0,639.2466025352478,,,,,,,,,,,,,,,,,,,,,14.856500123090258,12.941401900060146,37.979670354391544,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1310.0,18.0,95.0,3617.0,0.1,68.30599999999998,0.0,0.0,648.1281406879425,,,,,,,,,,,,,,,,,,,,,28.943326730424925,21.19701760037493,65.68769366023645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1341.0,19.0,31.0,3648.0,0.1,13.705999999999994,0.0,0.0,651.3281540870667,,,,,,,,,,,,,,,,,,,,,4.091669672545102,4.556381932886561,13.606357348490738,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1396.0,20.0,55.0,3703.0,0.1,33.105999999999995,0.0,0.0,656.6351206302643,,,,,,,,,,,,,,,,,,,,,12.910651049101961,10.489882852513377,32.4608033381724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
